User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status
1000001,P00069042,F,0-17,10,A,2,0
1000001,P00248942,F,0-17,10,A,2,0
1000001,P00087842,F,0-17,10,A,2,0
1000001,P00085442,F,0-17,10,A,2,0
1000002,P00285442,M,55,16,C,4,0
1000003,P00193542,M,26-35,15,A,3,0
1000004,P00184942,M,46-50,7,B,2,1
1000004,P00346142,M,46-50,7,B,2,1
1000004,P0097242,M,46-50,7,B,2,1
1000005,P00274942,M,26-35,20,A,1,1
1000005,P00251242,M,26-35,20,A,1,1
1000005,P00014542,M,26-35,20,A,1,1
1000005,P00031342,M,26-35,20,A,1,1
1000005,P00145042,M,26-35,20,A,1,1
1000006,P00231342,F,51-55,9,A,1,0
1000006,P00190242,F,51-55,9,A,1,0
1000006,P0096642,F,51-55,9,A,1,0
1000006,P00058442,F,51-55,9,A,1,0
1000007,P00036842,M,36-45,1,B,1,1
1000008,P00249542,M,26-35,12,C,4,1
1000008,P00220442,M,26-35,12,C,4,1
1000008,P00156442,M,26-35,12,C,4,1
1000008,P00213742,M,26-35,12,C,4,1
1000008,P00214442,M,26-35,12,C,4,1
1000008,P00303442,M,26-35,12,C,4,1
1000009,P00135742,M,26-35,17,C,0,0
1000009,P00039942,M,26-35,17,C,0,0
1000009,P00161442,M,26-35,17,C,0,0
1000009,P00078742,M,26-35,17,C,0,0
1000010,P00085942,F,36-45,1,B,4,1
1000010,P00118742,F,36-45,1,B,4,1
1000010,P00297942,F,36-45,1,B,4,1
1000010,P00266842,F,36-45,1,B,4,1
1000010,P00058342,F,36-45,1,B,4,1
1000010,P00032442,F,36-45,1,B,4,1
1000010,P00105942,F,36-45,1,B,4,1
1000010,P00182642,F,36-45,1,B,4,1
1000010,P00186942,F,36-45,1,B,4,1
1000010,P00155442,F,36-45,1,B,4,1
1000010,P00221342,F,36-45,1,B,4,1
1000010,P00087242,F,36-45,1,B,4,1
1000010,P00111142,F,36-45,1,B,4,1
1000010,P00259342,F,36-45,1,B,4,1
1000010,P0094542,F,36-45,1,B,4,1
1000010,P00148642,F,36-45,1,B,4,1
1000010,P00312142,F,36-45,1,B,4,1
1000010,P00113242,F,36-45,1,B,4,1
1000011,P00192642,F,26-35,1,C,1,0
1000011,P00110842,F,26-35,1,C,1,0
1000011,P00189642,F,26-35,1,C,1,0
1000012,P00304242,M,26-35,12,C,2,0
1000012,P00365242,M,26-35,12,C,2,0
1000013,P00129542,M,46-50,1,C,3,1
1000013,P00140742,M,46-50,1,C,3,1
1000013,P00182342,M,46-50,1,C,3,1
1000014,P00276642,M,36-45,0,C,0,0
1000015,P00334242,M,26-35,7,A,1,0
1000015,P00247542,M,26-35,7,A,1,0
1000015,P00338442,M,26-35,7,A,1,0
1000015,P00275142,M,26-35,7,A,1,0
1000015,P00333042,M,26-35,7,A,1,0
1000015,P00166242,M,26-35,7,A,1,0
1000015,P00161942,M,26-35,7,A,1,0
1000015,P00348242,M,26-35,7,A,1,0
1000015,P00042142,M,26-35,7,A,1,0
1000016,P00244242,F,36-45,0,C,0,1
1000016,P00217742,F,36-45,0,C,0,1
1000017,P00019342,M,51-55,1,C,0,0
1000017,P00100642,M,51-55,1,C,0,0
1000017,P00073842,M,51-55,1,C,0,0
1000018,P00366542,F,18-25,3,B,3,0
1000018,P00190742,F,18-25,3,B,3,0
1000018,P00151842,F,18-25,3,B,3,0
1000018,P00112642,F,18-25,3,B,3,0
1000018,P00118442,F,18-25,3,B,3,0
1000018,P00034442,F,18-25,3,B,3,0
1000018,P00222242,F,18-25,3,B,3,0
1000018,P00118342,F,18-25,3,B,3,0
1000018,P00324742,F,18-25,3,B,3,0
1000018,P00190042,F,18-25,3,B,3,0
1000018,P0094142,F,18-25,3,B,3,0
1000018,P00138542,F,18-25,3,B,3,0
1000018,P00158542,F,18-25,3,B,3,0
1000018,P00157542,F,18-25,3,B,3,0
